date,store_id,city,area,area_type,income_level,sku_id,category,price,discount_pct,weather,is_weekend,is_holiday,raw_demand,units_sold,inventory_level,lead_time_days,order_placed,order_quantity
2023-01-22,DS_PUN_02,Pune,Hadapsar,Residential,Medium,DETERGENT_1KG,Household,110,5.0,Cloudy,1,0,34,34,89,3.0,0,0
2022-11-19,DS_PUN_02,Pune,Hadapsar,Residential,Medium,ONION_1KG,Vegetables,40,5.0,Sunny,1,0,111,111,143,1.0,0,0
2023-11-01,DS_MUM_02,Mumbai,Dharavi,Mixed,Low,CHIPS_LAYS,Snacks,20,0.0,Cloudy,0,0,53,53,127,2.0,0,0
2023-01-08,DS_BLR_01,Bengaluru,Koramangala,Commercial,High,BUTTER_100G,Dairy,55,0.0,Sunny,1,0,18,18,79,1.0,0,0
2022-06-27,DS_MUM_02,Mumbai,Dharavi,Mixed,Low,DIAPERS_SM,BabyCare,350,0.0,Cloudy,0,0,2,2,36,3.0,0,0
2023-04-24,DS_BLR_01,Bengaluru,Koramangala,Commercial,High,SHAMPOO_SM,PersonalCare,99,0.0,Sunny,0,0,19,19,72,3.0,0,0
2022-12-25,DS_PUN_01,Pune,Koregaon,Commercial,High,BISCUIT_PK,Snacks,30,10.0,Cloudy,1,1,127,15,0,2.0,0,0
2023-11-11,DS_MUM_02,Mumbai,Dharavi,Mixed,Low,TOMATO_500G,Vegetables,30,5.0,Cloudy,1,0,136,136,558,1.0,0,0
2022-01-03,DS_MUM_02,Mumbai,Dharavi,Mixed,Low,SHAMPOO_SM,PersonalCare,99,0.0,Sunny,0,0,13,13,65,3.0,0,0
2023-09-10,DS_PUN_02,Pune,Hadapsar,Residential,Medium,WATER_1L,Beverages,20,0.0,Cloudy,1,0,103,103,109,1.0,0,0
2022-05-03,DS_PUN_01,Pune,Koregaon,Commercial,High,ATTA_5KG,Staples,220,0.0,Hot,0,0,8,8,238,,0,0
2023-07-19,DS_PUN_01,Pune,Koregaon,Commercial,High,TOMATO_500G,Vegetables,30,0.0,Rainy,0,0,115,115,689,2.0,0,0
2022-11-08,DS_PUN_02,Pune,Hadapsar,Residential,Medium,SHAMPOO_SM,PersonalCare,99,10.0,Partly Cloudy,0,1,24,24,39,3.0,0,0
2022-07-02,DS_MUM_02,Mumbai,Dharavi,Mixed,Low,ONION_1KG,Vegetables,40,0.0,Cloudy,1,0,42,42,362,1.0,0,0
2022-06-24,DS_MUM_02,Mumbai,Dharavi,Mixed,Low,MAGGI_NOOD,Packaged,14,0.0,Sunny,0,0,36,36,389,2.0,0,0
2023-03-10,DS_PUN_01,Pune,Koregaon,Commercial,High,EGGS_12PK,Dairy,72,0.0,Hot,0,0,48,48,293,1.0,0,0
2023-07-07,DS_PUN_02,Pune,Hadapsar,Residential,Medium,PANEER_200G,Dairy,85,0.0,Sunny,0,0,29,29,214,1.0,0,0
2023-02-24,DS_BLR_01,Bengaluru,Koramangala,Commercial,High,ATTA_5KG,Staples,220,0.0,Sunny,0,0,19,19,157,2.0,0,0
2023-03-27,DS_PUN_01,Pune,Koregaon,Commercial,High,BANANA_DOZ,Fruits,50,0.0,Cloudy,0,0,51,51,56,2.0,1,315
2022-04-21,DS_MUM_02,Mumbai,Dharavi,Mixed,Low,DETERGENT_1KG,Household,110,0.0,Sunny,0,0,17,17,54,4.0,1,126
2023-03-19,DS_MUM_01,Mumbai,Andheri,Residential,High,BREAD_WH,Bakery,45,0.0,Sunny,1,0,66,66,505,1.0,0,0
2022-06-10,DS_MUM_01,Mumbai,Andheri,Residential,High,BISCUIT_PK,Snacks,30,0.0,Rainy,0,0,34,34,299,3.0,0,0
2024-03-22,DS_MUM_02,Mumbai,Dharavi,Mixed,Low,ATTA_5KG,Staples,220,0.0,Sunny,0,0,27,27,166,2.0,0,0
2022-08-11,DS_BLR_01,Bengaluru,Koramangala,Commercial,High,BREAD_WH,Bakery,45,0.0,Rainy,0,0,38,38,151,1.0,0,0
2023-02-26,DS_MUM_02,Mumbai,Dharavi,Mixed,Low,BUTTER_100G,Dairy,55,0.0,Sunny,1,0,29,29,79,1.0,0,0
2023-11-26,DS_BLR_01,Bengaluru,Koramangala,Commercial,High,RICE_1KG,Staples,60,0.0,Sunny,1,0,33,33,112,2.0,1,343
2022-01-05,DS_MUM_02,Mumbai,Dharavi,Mixed,Low,BUTTER_100G,Dairy,55,0.0,Sunny,0,0,22,22,59,1.0,0,0
2023-05-18,DS_PUN_02,Pune,Hadapsar,Residential,,BANANA_DOZ,Fruits,50,0.0,Cloudy,0,0,61,61,315,1.0,0,0
2022-09-17,DS_BLR_01,Bengaluru,Koramangala,Commercial,High,CURD_400G,Dairy,42,5.0,Rainy,1,0,45,45,91,1.0,0,0
2023-02-24,DS_PUN_01,Pune,Koregaon,Commercial,High,TOMATO_500G,Vegetables,30,0.0,Cloudy,0,0,74,74,176,1.0,0,0
2022-09-24,DS_MUM_02,Mumbai,Dharavi,Mixed,Low,SOAP_BAR,PersonalCare,35,10.0,Rainy,1,0,15,15,79,2.0,0,0
